#,,,,,,,,,,,
# Results on Tuesday December 12 2017 12:17:01 UTC.,,,,,,,,,,,
# USER AGENT: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5,,,,,,,,,,
# Design number was non-random = 0,,,,,,,,,,,
#,,,,,,,,,,,
# Columns below this comment are as follows:,,,,,,,,,,,
# 1. Time results were received.,,,,,,,,,,,
# 2. MD5 hash of participant's IP address.,,,,,,,,,,,
# 3. Controller name.,,,,,,,,,,,
# 4. Item number.,,,,,,,,,,,
# 5. Element number.,,,,,,,,,,,
# 6. Type.,,,,,,,,,,,
# 7. Group.,,,,,,,,,,,
# 8. Field name.,,,,,,,,,,,
# 9. Field value.,,,,,,,,,,,
1513081021,49de413ab45774f71b0bc07c2cd5c655,Form,3,0,intro,NULL,name,1,,,
1513081021,49de413ab45774f71b0bc07c2cd5c655,Form,3,0,intro,NULL,age,1,,,
1513081021,49de413ab45774f71b0bc07c2cd5c655,Form,3,0,intro,NULL,_REACTION_TIME_,154726,,,
# The lines below this comment are in groups of 2.,,,,,,,,,,,
# The formats of the lines in each of these groups are as follows:,,,,,,,,,,,
#,,,,,,,,,,,
# Line 1:,,,,,,,,,,,
#     Col. 1: Time results were received.,,,,,,,,,,,
#     Col. 2: MD5 hash of participant's IP address.,,,,,,,,,,,
#     Col. 3: Controller name.,,,,,,,,,,,
#     Col. 4: Item number.,,,,,,,,,,,
#     Col. 5: Element number.,,,,,,,,,,,
#     Col. 6: Type.,,,,,,,,,,,
#     Col. 7: Group.,,,,,,,,,,,
#     Col. 8: Word number.,,,,,,,,,,,
#     Col. 9: Word.,,,,,,,,,,,
#     Col. 10: Reading time.,,,,,,,,,,,
#     Col. 11: Newline?,,,,,,,,,,,
#     Col. 12: Sentence (or sentence MD5).,,,,,,,,,,,
# Line 2:,,,,,,,,,,,
#     Col. 1: Time results were received.,,,,,,,,,,,
#     Col. 2: MD5 hash of participant's IP address.,,,,,,,,,,,
#     Col. 3: Controller name.,,,,,,,,,,,
#     Col. 4: Item number.,,,,,,,,,,,
#     Col. 5: Element number.,,,,,,,,,,,
#     Col. 6: Type.,,,,,,,,,,,
#     Col. 7: Group.,,,,,,,,,,,
#     Col. 8: Sentence.,,,,,,,,,,,
#     Col. 9: Chosen picture (Starting from 1).,,,,,,,,,,,
#     Col. 10: Whether or not answer was correct (NULL if N/A).,,,,,,,,,,,
#     Col. 11: Time taken to answer.,,,,,,,,,,,
1513081021,49de413ab45774f71b0bc07c2cd5c655,DashedSentence,5,0,practice,NULL,1,Someone looked at the airplane flying in the sky yesterday morning.,4423,FALSE,Someone looked at the airplane flying in the sky yesterday morning.
1513081021,49de413ab45774f71b0bc07c2cd5c655,PictureAccept,5,1,practice,NULL,Pick a picture,1,1,1976,
1513081021,49de413ab45774f71b0bc07c2cd5c655,DashedSentence,6,0,practice,NULL,1,Alice noticed that there was a puddle in front of her.,3722,FALSE,Alice noticed that there was a puddle in front of her.
1513081021,49de413ab45774f71b0bc07c2cd5c655,PictureAccept,6,1,practice,NULL,Pick a picture,2,0,1508,
1513081021,49de413ab45774f71b0bc07c2cd5c655,DashedSentence,7,0,practice,NULL,1,Two students with school uniforms were walking slowly in the classroom,4282,FALSE,Two students with school uniforms were walking slowly in the classroom
1513081021,49de413ab45774f71b0bc07c2cd5c655,PictureAccept,7,1,practice,NULL,Pick a picture,2,0,1218,
1513081021,49de413ab45774f71b0bc07c2cd5c655,DashedSentence,8,0,practice,NULL,1,There were more than one apple on the shelf.,3349,FALSE,There were more than one apple on the shelf.
1513081021,49de413ab45774f71b0bc07c2cd5c655,PictureAccept,8,1,practice,NULL,Pick a picture,2,0,1229,
1513081021,49de413ab45774f71b0bc07c2cd5c655,DashedSentence,57,0,exp1-1,13,1,After the two brothers hugged their mother at the station ate some cookies.,3455,FALSE,After the two brothers hugged their mother at the station ate some cookies.
1513081021,49de413ab45774f71b0bc07c2cd5c655,PictureAccept,57,1,exp1-1,13,Pick a picture,1,0,1013,
1513081021,49de413ab45774f71b0bc07c2cd5c655,DashedSentence,215,0,f,87,1,Tom cleaned the towel while his girlfriend slept at the desk.,3409,FALSE,Tom cleaned the towel while his girlfriend slept at the desk.
1513081021,49de413ab45774f71b0bc07c2cd5c655,PictureAccept,215,1,f,87,Pick a picture,1,1,1164,
